 #, Operadora, Simcard, IMEI, Mensalidade, Credito, Consumo 60 dias, Data Ativacao, IP, ICCID, Saldo, Consumo, Ultima Conexao, Status
174,Claro,'5518991408573,/ 864893030945420,4.3,0,20,27/3/2019,10.33.63.150,'89550534120021302186,1.862.785,1.36,5/8/2019 19:34,Ativo
175,Claro,'5518991401534,/ 356429070214110,4.3,0,20,26/3/2019,10.33.60.153,'89550534120021302962,20,0,30/6/2019 04:50,Ativo
176,Claro,'5518991395458,/ 864893032689260,4.3,0,20,19/4/2019,10.35.171.248,'89550534120023663494,181.534,1.83,5/8/2019 15:08,Ativo
177,Claro,'5518991387277,/ 864893031327250,4.3,0,20,27/3/2019,10.33.63.140,'89550534120021302087,1.816.139,1.83,5/8/2019 20:48,Ativo
178,Claro,'5518991372217,/ 8648930329612978,4.3,0,20,16/4/2019,10.35.195.19,'89550534120021373252,1.838.878,1.6,5/8/2019 20:19,Ativo
179,Claro,'5518991369178,/ 864893031327050,4.3,0,20,8/4/2019,10.33.58.24,'89550534120021345474,1.554.558,4.45,5/8/2019 19:24,Ativo
180,Claro,'5518991368295,/ 864893031716670,4.3,0,20,19/3/2019,10.33.63.139,'89550534120021302061,1.942.166,0.57,5/8/2019 14:06,Ativo
181,Claro,'5518991358715,/ 8648930326760578,4.3,0,20,16/4/2019,10.35.200.245,'89550534120021373328,1.818.221,1.81,5/8/2019 20:14,Ativo
182,Claro,'5518991353454,/ 864893033453170,4.3,0,20,22/4/2019,10.35.3.214,'89550534120023663759,1.804.782,1.95,5/8/2019 14:05,Ativo
183,Claro,'5518991347707,/ 8648930313273878,4.3,0,20,9/4/2019,10.33.37.144,'89550534120021345516,1.937.391,0.62,5/8/2019 18:00,Ativo
184,Claro,'5518991345890,/ 864893032691580,4.3,0,20,18/4/2019,10.35.254.111,'89550534120023664021,1.779.695,2.19,5/8/2019 13:54,Ativo
185,Claro,'5518991343467,/ 355126070129320,4.3,0,20,25/3/2019,10.33.60.176,'89550534120021302590,1.998.658,0.01,5/8/2019 14:27,Ativo
186,Claro,'5518991340358,/ 864893033451440,4.3,0,20,1/5/2019,10.35.9.160,'89550534120023663056,1.869.775,1.29,5/8/2019 15:44,Ativo
187,Claro,'5518991335602,/ 864893032689640,4.3,0,20,22/4/2019,10.35.221.200,'89550534120023663734,1.841.383,1.59,5/8/2019 17:55,Ativo
188,Claro,'5518991334623,/ 864893031326860,4.3,0,20,7/4/2019,10.33.58.163,'89550534120021345748,1.853.867,1.44,5/8/2019 19:03,Ativo
189,Claro,'5518991330048,/ 889300055917500,4.3,0,20,27/3/2019,10.33.60.196,'89550534120021302780,1.945.498,0.54,5/8/2019 20:53,Ativo
190,Claro,'5518991329728,/ 355126075554580,4.3,0,20,6/4/2019,10.33.37.149,'89550534120021345565,1.865.538,1.34,5/8/2019 20:37,Ativo
191,Claro,'5518991328904,,4.3,0,20,16/4/2019,10.33.59.19,'89550534120021345334,20,0,12/3/2019 15:37,Ativo
192,Claro,'5518991328612,/ 864893031716740,4.3,0,20,19/3/2019,10.33.63.152,'89550534120021302202,1.830.311,1.69,5/8/2019 21:12,Ativo
193,Claro,'5518991325371,/ 3588990528486478,4.3,0,20,27/3/2019,10.33.63.141,'89550534120021302095,1.935.218,0.65,5/8/2019 21:00,Ativo
194,Claro,'5518991324158,/ 864893033451350,4.3,0,20,1/5/2019,10.35.44.247,'89550534120023663296,1.736.299,2.63,5/8/2019 15:59,Ativo
195,Claro,'5518991322920,/ 864893030945300,4.3,0,20,7/4/2019,10.33.59.154,'89550534120021345961,1.844.363,1.54,5/8/2019 14:06,Ativo
196,Claro,'5518991322762,/ 864180033751580,4.3,0,20,6/4/2019,10.33.59.206,'89550534120021345409,1.894.603,1.05,5/8/2019 18:29,Ativo
197,Claro,'5518991321787,/ 864893032690330,4.3,0,20,23/4/2019,10.35.168.234,'89550534120023663668,1.856.954,1.42,5/8/2019 15:43,Ativo
198,Claro,'5518991320727,/ 864893032689100,4.3,0,20,19/4/2019,10.35.58.9,'89550534120023663148,20,0,28/7/2019 21:14,Ativo
199,Claro,'5518991320260,/ 8648930309455078,4.3,0,20,8/4/2019,10.33.59.229,'89550534120021345490,1.973.816,0.26,1/8/2019 14:10,Ativo
200,Claro,'5518991318949,/ 8648930317175678,4.3,0,20,19/3/2019,10.33.63.12,'89550534120021302483,1.870.996,1.28,5/8/2019 14:04,Ativo
201,Claro,'5518991312689,/ 864893031716860,4.3,0,20,21/3/2019,10.33.63.143,'89550534120021302111,1.693.521,3.06,5/8/2019 15:47,Ativo
202,Claro,'5518991310692,/ 864893031717500,4.3,0,20,22/3/2019,10.33.62.97,'89550534120021302426,1.829.246,1.7,5/8/2019 14:05,Ativo
203,Claro,'5518991292570,/ 864893031327120,4.3,0,20,27/3/2019,10.33.60.175,'89550534120021302582,1.948.065,0.52,5/8/2019 20:43,Ativo
204,Claro,'5518991283681,/ 889300055919720,4.3,0,20,27/3/2019,10.33.60.18,'89550534120021302632,1.949.911,0.5,5/8/2019 07:45,Ativo
205,Claro,'5518991283568,/ 864893032689030,4.3,0,20,20/4/2019,10.35.21.83,'89550534120023664013,187.286,1.26,5/8/2019 14:06,Ativo
206,Claro,'5518991281720,/ 864893031717220,4.3,0,20,23/3/2019,10.33.63.110,'89550534120021302384,1.855.304,1.44,5/8/2019 14:04,Ativo
207,Claro,'5518991279489,/ 351608081849140,4.3,0,20,16/4/2019,10.33.59.105,'89550534120021345649,1.965.335,0.35,5/8/2019 21:01,Ativo
208,Claro,'5518991277873,/ 358511020025730,4.3,0,20,10/4/2019,10.33.59.185,'89550534120021345318,194.551,0.54,3/8/2019 22:47,Ativo
209,Claro,'5518991268556,/ 864893031759350,4.3,0,20,27/3/2019,10.33.63.101,'89550534120021302285,1.831.542,1.67,5/8/2019 15:43,Ativo
210,Claro,'5518991266695,/ 864893031334770,4.3,0,20,27/3/2019,10.33.60.174,'89550534120021302574,1.855.543,1.43,5/8/2019 15:19,Ativo
211,Claro,'5518991266538,/ 864893032688940,4.3,0,20,1/5/2019,10.35.250.227,'89550534120023663874,1.851.486,1.47,5/8/2019 14:05,Ativo
212,Claro,'5518991266378,/ 358222056295630,4.3,0,20,26/3/2019,10.33.63.116,'89550534120021302442,1.957.963,0.42,5/8/2019 07:45,Ativo
213,Claro,'5518991266160,/ 864893031326870,4.3,0,20,27/3/2019,10.33.62.96,'89550534120021302210,1.777.979,2.21,5/8/2019 21:29,Ativo
214,Claro,'5518991263694,/ 8648930317169978,4.3,0,20,20/3/2019,10.33.60.149,'89550534120021302913,20,0,5/4/2019 20:52,Ativo
215,Claro,'5518991261337,/ 864893033451500,4.3,0,20,1/5/2019,10.35.191.206,'89550534120023663486,1.855.297,1.44,5/8/2019 14:04,Ativo
216,Claro,'5518991258493,/ 351835020289170,4.3,0,20,16/4/2019,10.33.37.147,'89550534120021345540,122.047,7.8,5/8/2019 21:31,Ativo
217,Claro,'5518991258366,/ 864893031327020,4.3,0,20,27/3/2019,10.33.60.187,'89550534120021302715,17.939,2.06,5/8/2019 18:10,Ativo
218,Claro,'5518991254375,/ 864893031717240,4.3,0,20,19/3/2019,10.33.63.135,'89550534120021302228,1.751.817,2.48,5/8/2019 15:48,Ativo
219,Claro,'5518991242993,/ 8648930326902778,4.3,0,20,19/4/2019,10.35.243.96,'89550534120023663528,1.818.211,1.81,5/8/2019 14:04,Ativo
220,Claro,'5518991242144,/ 864893033451290,4.3,0,20,2/5/2019,10.35.55.148,'89550534120023663338,1.715.504,2.84,5/8/2019 14:05,Ativo
221,Claro,'5518991239260,/ 8648930313347978,4.3,0,20,27/3/2019,10.33.60.158,'89550534120021303010,1.905.688,0.94,5/8/2019 13:13,Ativo
222,Claro,'5518991237029,/ 8648930313352678,4.3,0,20,9/4/2019,10.33.59.222,'89550534120021345466,1.847.042,1.52,5/8/2019 18:30,Ativo
223,Claro,'5518991233526,/ 355126072508260,4.3,0,20,27/3/2019,10.33.63.1,'89550534120021302251,19.034,0.97,5/8/2019 17:00,Ativo
224,Claro,'5518991231796,/ 8648930334534378,4.3,0,20,16/4/2019,10.35.171.38,'89550534120021373138,1.554.499,4.45,5/8/2019 21:18,Ativo
225,Claro,'5518991223447,/ 8648930334531078,4.3,0,20,23/4/2019,10.35.117.168,'89550534120023663700,1.817.154,1.82,5/8/2019 21:27,Ativo
226,Claro,'5518991222945,/ 864893031335230,4.3,0,20,7/4/2019,10.33.53.213,'89550534120021345136,1.886.546,1.13,5/8/2019 21:24,Ativo
227,Claro,'5518991222449,/ 8648930334531178,4.3,0,20,2/5/2019,10.35.197.36,'89550534120023663403,1.835.106,1.64,5/8/2019 15:45,Ativo
228,Claro,'5518991220612,/ 8648930326891178,4.3,0,20,12/5/2019,10.35.240.195,'89550534120023663569,1.803.582,1.96,5/8/2019 20:17,Ativo
229,Claro,'5518991220222,/ 864893032689810,4.3,0,20,2/5/2019,10.35.138.212,'89550534120023663395,1.867.378,1.31,5/8/2019 20:26,Ativo
230,Claro,'5518991218373,/ 864893033453140,4.3,0,20,2/5/2019,10.35.108.41,'89550534120023663387,1.774.031,2.25,5/8/2019 15:44,Ativo
231,Claro,'5518991214766,/ 355126074057000,4.3,0,20,6/4/2019,10.33.37.148,'89550534120021345557,1.996.248,0.04,3/8/2019 09:37,Ativo
232,Claro,'5518991214085,/ 8648930313352078,4.3,0,20,7/4/2019,10.33.50.180,'89550534120021345995,1.848.293,1.51,5/8/2019 16:00,Ativo
233,Claro,'5518991212915,/ 864893031335080,4.3,0,20,8/4/2019,10.33.50.182,'89550534120021346019,1.846.445,1.53,5/8/2019 18:21,Ativo
234,Claro,'5518991210686,/ 8648930334532078,4.3,0,20,3/5/2019,10.35.250.104,'89550534120023663437,1.913.936,0.85,2/8/2019 23:00,Ativo
235,Claro,'5518991210572,/ 864893031334800,4.3,0,20,27/3/2019,10.33.60.181,'89550534120021302657,1.880.705,1.18,5/8/2019 14:04,Ativo
236,Claro,'5518991209784,/ 864893030943700,4.3,0,20,8/4/2019,10.33.50.183,'89550534120021346027,1.575.627,4.24,5/8/2019 14:04,Ativo
237,Claro,'5518991209673,/ 864893033453290,4.3,0,20,1/5/2019,10.35.45.157,'89550534120023663544,195.566,0.44,5/8/2019 19:13,Ativo
238,Claro,'5518991207527,/ 355126074352540,4.3,0,20,16/4/2019,10.33.59.187,'89550534120021345326,1.826.987,1.73,5/8/2019 21:01,Ativo
239,Claro,'5518991205628,/ 864893032691640,4.3,0,20,20/4/2019,10.35.185.131,'89550534120023663155,1.867.479,1.32,5/8/2019 14:05,Ativo
240,Claro,'5518991205518,/ 8648930326766678,4.3,0,20,16/4/2019,10.35.9.15,'89550534120021373302,1.947.833,0.52,4/8/2019 23:19,Ativo
241,Claro,'5518991199104,/ 864893031319620,4.3,0,20,19/3/2019,10.33.63.136,'89550534120021302038,1.763.627,2.35,5/8/2019 19:19,Ativo
242,Claro,'5518991198154,/ 355126076645770,4.3,0,20,5/4/2019,10.33.59.178,'89550534120021345284,1.808.776,1.91,5/8/2019 21:00,Ativo
243,Claro,'5518991185938,/ 864893031335160,4.3,0,20,16/4/2019,10.33.59.109,'89550534120021345680,1.831.135,1.67,5/8/2019 15:45,Ativo
244,Claro,'5518991184995,/ 8648930326914478,4.3,0,20,16/4/2019,10.35.237.216,'89550534120021373229,1.850.068,1.49,5/8/2019 16:55,Ativo
245,Claro,'5518991184869,/ 864893031327200,4.3,0,20,27/3/2019,10.33.60.148,'89550534120021302905,1.861.287,1.38,5/8/2019 14:04,Ativo
246,Claro,'5518991174031,/ 864893031750450,4.3,0,20,8/4/2019,10.33.5.228,'89550534120021345839,1.804.158,1.95,5/8/2019 14:04,Ativo
247,Claro,'5518991170808,/ 8648930317173278,4.3,0,20,20/3/2019,10.33.60.190,'89550534120021302749,1.679.797,3.2,5/8/2019 20:24,Ativo
248,Claro,'5518991166985,/ 8648930334533878,4.3,0,20,16/4/2019,10.35.204.245,'89550534120021373179,1.851.913,1.47,5/8/2019 14:04,Ativo
249,Claro,'5518991163076,/ 355126074503650,4.3,0,20,6/4/2019,10.33.59.201,'89550534120021345383,1.907.093,0.93,5/8/2019 15:00,Ativo
250,Claro,'5518991160387,/ 864893032689420,4.3,0,20,22/4/2019,10.35.82.110,'89550534120023663783,1.904.184,0.95,5/8/2019 14:04,Ativo
251,Claro,'5518991157773,/ 8648930334534078,4.3,0,20,16/4/2019,10.35.103.217,'89550534120021373153,1.839.633,1.59,5/8/2019 13:38,Ativo
252,Claro,'5518991157640,/ 355126072913870,4.3,0,20,10/4/2019,10.33.57.9,'89550534120021345623,20,0,26/6/2019 00:14,Ativo
253,Claro,'5518991157453,/ 864893031717800,4.3,0,20,21/3/2019,10.33.63.11,'89550534120021302376,20,0,8/4/2019 08:25,Ativo
254,Claro,'5518991155934,/ 864893033453310,4.3,0,20,1/5/2019,10.35.89.204,'89550534120023663312,20,0,19/7/2019 02:31,Ativo
255,Claro,'5518991155393,/ 355126073907820,4.3,0,20,27/3/2019,10.33.63.10,'89550534120021302269,183.985,1.6,5/8/2019 21:21,Ativo
256,Claro,'5518991155279,/ 864893031327390,4.3,0,20,16/4/2019,10.33.59.116,'89550534120021345763,1.862.404,1.36,5/8/2019 14:04,Ativo
257,Claro,'5518991147503,/ 8648930326913178,4.3,0,20,16/4/2019,10.35.195.40,'89550534120021373260,1.522.828,4.77,5/8/2019 17:56,Ativo
258,Claro,'5518991147331,/ 8648930313272278,4.3,0,20,27/3/2019,10.33.60.180,'89550534120021302640,1.827.305,1.72,5/8/2019 19:23,Ativo
259,Claro,'5518991144301,/ 355126072521310,4.3,0,20,16/4/2019,10.33.58.110,'89550534120021345656,1.743.443,2.56,5/8/2019 21:00,Ativo
260,Claro,'5518991138588,/ 864893031717700,4.3,0,20,19/3/2019,10.33.63.119,'89550534120021302475,1.840.824,1.58,5/8/2019 14:04,Ativo
261,Claro,'5518991137424,/ 8648930326903078,4.3,0,20,1/5/2019,10.35.77.235,'89550534120023663908,1.865.638,1.33,5/8/2019 17:15,Ativo
262,Claro,'5518991135913,/ 868683029195520,4.3,0,20,10/4/2019,10.33.2.120,'89550534120021345342,1.865.345,1.34,5/8/2019 15:46,Ativo
263,Claro,'5518991134915,/ 864893030944300,4.3,0,20,27/3/2019,10.33.60.173,'89550534120021302566,1.755.996,2.43,5/8/2019 21:09,Ativo
264,Claro,'5518991134417,/ 864893031715530,4.3,0,20,27/3/2019,10.33.63.142,'89550534120021302103,1.993.669,0.06,5/8/2019 20:35,Ativo
265,Claro,'5518991131356,/ 864893031327320,4.3,0,20,7/4/2019,10.33.59.15,'89550534120021345946,1.852.075,1.47,5/8/2019 15:44,Ativo
266,Claro,'5518991130896,/ 3551260705106278,4.3,0,20,16/4/2019,10.33.59.18,'89550534120021345292,1.674.106,3.25,5/8/2019 21:00,Ativo
267,Claro,'5518991129021,/ 864893031327420,4.3,0,20,8/4/2019,10.33.59.143,'89550534120021345920,1.876.532,1.23,5/8/2019 14:49,Ativo
268,Claro,'5518991125494,/ 864893032691060,4.3,0,20,19/4/2019,10.35.42.128,'89550534120023663171,1.878.791,1.21,5/8/2019 14:04,Ativo
269,Claro,'5518991124475,/ 8648930326914678,4.3,0,20,16/4/2019,10.35.131.131,'89550534120021373237,1.799.358,2,5/8/2019 14:04,Ativo
270,Claro,'5518991123948,/ 864893031326920,4.3,0,20,8/4/2019,10.33.58.135,'89550534120021345698,1.892.565,1.07,5/8/2019 20:43,Ativo
271,Claro,'5518991122963,/ 358222056293850,4.3,0,20,10/4/2019,10.33.53.204,'89550534120021345037,1.971.488,0.28,5/8/2019 17:08,Ativo
272,Claro,'5518991122233,/ 864893031759320,4.3,0,20,27/3/2019,10.33.60.146,'89550534120021302889,1.822.742,1.77,5/8/2019 13:45,Ativo
273,Claro,'5518991120216,/ 864893031335000,4.3,0,20,8/4/2019,10.33.59.125,'89550534120021345847,1.924.686,0.75,5/8/2019 16:42,Ativo
274,Claro,'5518991117513,/ 864893033452090,4.3,0,20,1/5/2019,10.35.9.170,'89550534120023663924,1.815.939,1.83,5/8/2019 21:14,Ativo
275,Claro,'5518991117368,/ 864893032689730,4.3,0,20,1/5/2019,10.35.254.87,'89550534120023663346,20,0,29/7/2019 21:47,Ativo
276,Claro,'5518991115360,/ 864893031335120,4.3,0,20,7/4/2019,10.33.57.71,'89550534120021345581,1.799.259,2,5/8/2019 15:46,Ativo
277,Claro,'5518991114943,/ 864893031717350,4.3,0,20,21/3/2019,10.33.63.115,'89550534120021302434,1.838.511,1.6,5/8/2019 15:44,Ativo
278,Claro,'5518991113192,/ 864893031717010,4.3,0,20,19/3/2019,10.33.63.122,'89550534120021302517,1.803.283,1.96,5/8/2019 18:48,Ativo
279,Claro,'5518991110489,/ 355126077953230,4.3,0,20,25/3/2019,10.33.60.19,'89550534120021302731,1.995.754,0.04,5/8/2019 18:19,Ativo
280,Claro,'5518991096325,/ 8648930334527578,4.3,0,20,20/4/2019,10.35.180.165,'89550534120023663916,1.632.956,3.67,5/8/2019 18:25,Ativo
281,Claro,'5518991094569,/ 8648930326904178,4.3,0,20,19/4/2019,10.35.76.129,'89550534120023663999,1.859.658,1.4,5/8/2019 19:26,Ativo
282,Claro,'5518991089100,/ 8648930326910378,4.3,0,20,24/4/2019,10.35.3.140,'89550534120023663064,20,0,13/7/2019 04:44,Ativo
283,Claro,'5518991078024,/ 8648930334511478,4.3,0,20,24/4/2019,10.35.212.135,'89550534120023663072,1.751.047,2.49,5/8/2019 19:43,Ativo
284,Claro,'5518991076373,/ 864893031325930,4.3,0,20,27/3/2019,10.33.60.15,'89550534120021302822,1.981.812,0.18,5/8/2019 18:48,Ativo
285,Claro,'5518991073656,/ 864893033452720,4.3,0,20,3/5/2019,10.35.178.155,'89550534120023663585,1.866.983,1.32,5/8/2019 14:04,Ativo
286,Claro,'5518991073456,/ 864893031327080,4.3,0,20,8/4/2019,10.33.19.127,'89550534120021345870,1.858.553,1.4,5/8/2019 15:43,Ativo
287,Claro,'5518991073019,/ 355126070066550,4.3,0,20,16/4/2019,10.33.50.29,'89550534120021345789,1.808.386,1.92,5/8/2019 21:00,Ativo
288,Claro,'5518991069665,/ 359193030180010,4.3,0,20,16/4/2019,10.33.58.227,'89550534120021345425,1.846.952,1.53,5/8/2019 21:25,Ativo
289,Claro,'5518991067413,/ 864893031716920,4.3,0,20,20/3/2019,10.33.60.191,'89550534120021302756,20,0,24/7/2019 01:07,Ativo
290,Claro,'5518991065419,/ 355126073854170,4.3,0,20,6/4/2019,10.33.59.100,'89550534120021345599,1.978.053,0.22,5/8/2019 20:00,Ativo
291,Claro,'5518991061913,/ 356429070223470,4.3,0,20,26/3/2019,10.33.63.100,'89550534120021302277,1.708.656,2.91,5/8/2019 18:45,Ativo
292,Claro,'5518991056915,/ 864893032691730,4.3,0,20,23/4/2019,10.35.153.109,'89550534120023663676,1.811.808,1.87,5/8/2019 14:04,Ativo
293,Claro,'5518991056322,/ 8648930309438878,4.3,0,20,27/3/2019,10.33.63.15,'89550534120021302178,1.991.581,0.08,5/8/2019 17:36,Ativo
294,Claro,'5518991054801,/ 864893031335180,4.3,0,20,8/4/2019,10.33.59.141,'89550534120021345912,18.423,1.57,5/8/2019 16:47,Ativo
295,Claro,'5518991049208,/ 864893031335030,4.3,0,20,27/3/2019,10.33.60.157,'89550534120021303002,20,0,31/7/2019 03:32,Ativo
296,Claro,'5518991048286,/ 351608082944670,4.3,0,20,16/4/2019,10.33.59.104,'89550534120021345631,1.849.668,1.5,5/8/2019 21:00,Ativo
297,Claro,'5518991046440,/ 864893033453520,4.3,0,20,23/4/2019,10.35.81.171,'89550534120023663775,20,0,23/6/2019 22:03,Ativo
298,Claro,'5518991037621,/ 864893031717470,4.3,0,20,20/3/2019,10.33.60.189,'89550534120021302921,1.839.623,1.6,5/8/2019 15:45,Ativo
299,Claro,'5518991036729,/ 8648930313216878,4.3,0,20,9/4/2019,10.33.58.233,'89550534120021345458,1.843.405,1.56,5/8/2019 14:09,Ativo
300,Claro,'5518991035158,/ 864893031716900,4.3,0,20,19/3/2019,10.33.63.137,'89550534120021302046,1.960.868,0.39,5/8/2019 14:09,Ativo
301,Claro,'5518991031569,/ 355126078341180,4.3,0,20,15/4/2019,10.33.53.21,'89550534120021345094,20,0,8/5/2019 12:51,Ativo
302,Claro,'5518991030406,/ 864893031717780,4.3,0,20,19/3/2019,10.33.63.120,'89550534120021302491,1.831.654,1.67,5/8/2019 14:04,Ativo
303,Claro,'5518991030046,/ 864893033452690,4.3,0,20,1/5/2019,10.35.169.42,'89550534120023663239,193.835,0.61,5/8/2019 19:07,Ativo
304,Claro,'5518991028474,/ 864893031716020,4.3,0,20,21/3/2019,10.33.63.114,'89550534120021302129,1.722.201,2.77,5/8/2019 15:43,Ativo
305,Claro,'5518991025513,/ 8648930334526378,4.3,0,20,16/4/2019,10.35.156.160,'89550534120021373187,1.742.087,2.58,5/8/2019 15:03,Ativo
306,Claro,'5518991022422,/ 355126074843340,4.3,0,20,27/3/2019,10.33.60.170,'89550534120021302533,1.913.527,0.86,5/8/2019 21:01,Ativo
307,Claro,'5518991020929,/ 864893031335290,4.3,0,20,27/3/2019,10.33.60.185,'89550534120021302699,1.861.493,1.38,5/8/2019 14:04,Ativo
308,Claro,'5518991019415,/ 864893033451320,4.3,0,20,1/5/2019,10.35.14.173,'89550534120023663270,1.830.769,1.69,5/8/2019 14:08,Ativo
309,Claro,'5518991016397,/ 864893031326110,4.3,0,20,27/3/2019,10.33.60.150,'89550534120021302939,1.758.006,2.41,5/8/2019 21:29,Ativo
310,Claro,'5518991015224,/ 8648930313343578,4.3,0,20,16/4/2019,10.33.59.110,'89550534120021345706,1.853.829,1.46,5/8/2019 16:27,Ativo
311,Claro,'5518991010268,/ 864893033452660,4.3,0,20,20/4/2019,10.35.160.136,'89550534120023663833,1.846.889,1.52,5/8/2019 14:08,Ativo
312,Claro,'5518991004840,/ 864893031717190,4.3,0,20,19/3/2019,10.33.63.151,'89550534120021302194,20,0,4/6/2019 15:19,Ativo
 #, Operadora, Simcard, IMEI, Mensalidade, Credito, Consumo 60 dias, Data Ativacao, IP, ICCID, Saldo, Consumo, Ultima Conexao, Status
1,PORTO,'5519976001969,/ 3551260731723978,3.9,0,20,6/5/2019,10.115.96.61,'89555408400003838650,1.753.547,2.46,5/8/2019 20:22,Ativo
2,PORTO,'5519976001538,/ 8648930326764878,3.9,0,20,13/5/2019,10.115.173.31,'89555408400003838510,1.746.682,2.51,5/8/2019 20:25,Ativo
3,PORTO,'5519976001527,/ 8648930326919678,3.9,0,20,13/5/2019,10.115.143.23,'89555408400003838486,1.756.159,2.42,5/8/2019 16:32,Ativo
4,PORTO,'5519976001512,/ 8648930326905478,3.9,0,20,13/5/2019,10.115.244.144,'89555408400003838551,1.838.841,1.59,5/8/2019 18:10,Ativo
5,PORTO,'5519976001454,/ 3551260794945678,3.9,0,20,6/5/2019,10.115.47.194,'89555408400003837892,183.441,1.65,5/8/2019 20:02,Ativo
6,PORTO,'5519976001435,/ 8648930326912278,3.9,0,20,3/5/2019,10.115.196.37,'89555408400003837546,1.811.101,1.87,5/8/2019 16:26,Ativo
7,PORTO,'5519976001389,/ 8648930326760878,3.9,0,20,13/5/2019,10.115.231.158,'89555408400003838502,1.681.736,3.17,5/8/2019 16:50,Ativo
8,PORTO,'5519976001388,/ 8648930326764278,3.9,0,20,10/5/2019,10.115.85.150,'89555408400003838619,1.793.252,2.05,5/8/2019 20:09,Ativo
9,PORTO,'5519976001309,/ 8648930326919978,3.9,0,20,5/5/2019,10.115.155.106,'89555408400003837769,1.848.485,1.49,5/8/2019 13:53,Ativo
10,PORTO,'5519976001292,/ 8648930326862778,3.9,0,20,5/5/2019,10.115.63.74,'89555408400003837512,1.837.049,1.6,5/8/2019 15:28,Ativo
11,PORTO,'5519976001221,/ 8648930326916878,3.9,0,20,13/5/2019,10.115.233.250,'89555408400003836209,20,0,10/6/2019 22:46,Ativo
12,PORTO,'5519976001215,/ 8648930326917778,3.9,0,20,8/5/2019,10.115.125.61,'89555408400003837645,1.653.344,3.45,5/8/2019 21:02,Ativo
13,PORTO,'5519976001213,/ 8648930326911778,3.9,0,20,5/5/2019,10.115.172.143,'89555408400003836316,1.836.154,1.61,5/8/2019 16:58,Ativo
14,PORTO,'5519976001150,/ 8648930345863878,3.9,0,20,13/5/2019,10.115.92.211,'89555408400003836969,1.830.622,1.67,5/8/2019 15:08,Ativo
15,PORTO,'5519976001136,/ 8648930345775478,3.9,0,20,13/5/2019,10.115.137.123,'89555408400003836977,1.819.736,1.78,5/8/2019 19:03,Ativo
16,PORTO,'5519976001087,/ 8648930326757078,3.9,0,20,10/5/2019,10.115.92.195,'89555408400003838585,1.771.582,2.26,5/8/2019 21:18,Ativo
17,PORTO,'5519976001046,/ 8648930326910878,3.9,0,20,3/5/2019,10.115.61.187,'89555408400003837652,1.825.828,1.72,5/8/2019 21:09,Ativo
18,PORTO,'5519976001038,/ 8648930326769778,3.9,0,20,13/5/2019,10.115.127.11,'89555408400003836282,1.818.204,1.8,5/8/2019 20:18,Ativo
19,PORTO,'5519976000977,/ 3551260728087078,3.9,0,20,6/5/2019,10.115.224.126,'89555408400003838718,174.299,2.56,5/8/2019 21:00,Ativo
20,PORTO,'5519976000940,/ 8648930326764778,3.9,0,20,13/5/2019,10.115.127.133,'89555408400003837835,1.982.221,0.18,5/8/2019 16:08,Ativo
21,PORTO,'5519976000886,/ 8641800330729378,3.9,0,20,13/5/2019,10.115.105.32,'89555408400003836621,1.972.467,0.28,3/8/2019 17:28,Ativo
22,PORTO,'5519976000609,/ 8648930326907878,3.9,0,20,3/5/2019,10.115.249.87,'89555408400003838577,183.572,1.62,5/8/2019 14:49,Ativo
23,PORTO,'5519976000497,/ 8648930326765378,3.9,0,20,13/5/2019,10.115.170.84,'89555408400003837850,183.386,1.64,5/8/2019 20:48,Ativo
24,PORTO,'5519976000347,/ 8648930326914978,3.9,0,20,13/5/2019,10.115.174.14,'89555408400003837827,1.802.274,1.96,5/8/2019 20:26,Ativo
25,PORTO,'5519976000249,/ 8648930326757678,3.9,0,20,13/5/2019,10.115.238.16,'89555408400003837694,1.667.011,3.31,5/8/2019 20:40,Ativo
26,PORTO,'5519976000067,/ 8648930326918378,3.9,0,20,11/5/2019,10.115.205.254,'89555408400003837686,1.886.876,1.12,5/8/2019 19:12,Ativo
27,PORTO,'5519976000065,/ 3551260761738878,3.9,0,20,13/5/2019,10.115.147.197,'89555408400003837587,1.696.799,3.02,5/8/2019 21:00,Ativo
28,PORTO,'5519976000023,/ 8648930326918278,3.9,0,20,3/5/2019,10.115.184.12,'89555408400003837595,1.777.578,2.2,5/8/2019 19:51,Ativo
29,PORTO,'5519976000006,/ 8648930326766978,3.9,0,20,3/5/2019,10.115.163.81,'89555408400003836274,1.845.798,1.53,5/8/2019 18:22,Ativo
30,PORTO,'5519953349995,/ 8648930326919078,3.9,0,20,7/5/2019,10.115.172.188,'89555408400003836191,1.825.364,1.72,5/8/2019 15:09,Ativo
31,PORTO,'5519953349888,/ 3554880209787278,3.9,0,20,6/5/2019,10.115.56.144,'89555408400003837579,1.908.672,0.91,5/8/2019 12:15,Ativo
32,PORTO,'5519953349791,/ 8648930326913578,3.9,0,20,3/5/2019,10.115.200.184,'89555408400003836233,1.759.054,2.39,5/8/2019 18:07,Ativo
33,PORTO,'5519953349418,/ 8648930326913278,3.9,0,20,13/5/2019,10.115.103.185,'89555408400003838494,1.834.909,1.64,5/8/2019 16:55,Ativo
34,PORTO,'5519953349280,/ 3551260733942878,3.9,0,20,6/5/2019,10.115.68.156,'89555408400003837553,179.856,2.01,5/8/2019 21:00,Ativo
